ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Naam_45;Code_46;Omschrijving_47;Code_48;Omschrijving_49;Inwonertal_50;Omgevingsadressendichtheid_51
75;Dordrecht;GM0505    ;Dordrecht                                         ;Dordrecht                                         ;AM23      ;Drechtsteden                                      ;AR08      ;Rotterdam                                         ;CR30      ;Zuidoost-Zuid-Holland                             ;CS300     ;Zuidoost-Zuid-Holland                             ;CP3001    ;Drechtsteden                                      ;GG4816    ;Dienst Gezondheid & Jeugd ZHZ                     ;JZ31      ;Zuid-Holland Zuid                                 ;KK45      ;Zuidwest                                          ;LB2801    ;Voorne-Putten en Hoeksche Waard                   ;LG11      ;Zuidwestelijk Akkerbouwgebied                     ;LD03      ;West-Nederland                                    ;PV28      ;Zuid-Holland                                      ;RE07      ;Rotterdam                                         ;ES18      ;Drechtsteden                                      ;MC30      ;Zuid-Holland-Zuid                                 ;RA1121    ;Zuid-Holland Zuid                                 ;RT13      ;Gerechtshof Den Haag                              ;ET1801    ;Drechtsteden                                      ;TR04      ;Deltagebied                                       ;VR18      ;Zuid-Holland-Zuid                                 ;ZK24      ;Waardenland                                       ;6;100 000 tot 150 000 inwoners                      ;1;Zeer sterk stedelijk     ;118654;2516
76;Drechterland;GM0498    ;Drechterland                                      ;Drechterland                                      ;AM15      ;Noord-Holland Noord                               ;AR02      ;Noord-Holland                                     ;CR18      ;Kop van Noord-Holland                             ;CS180     ;Kop van Noord-Holland                             ;CP1800    ;Kop van Noord-Holland                             ;GG2707    ;GGD Hollands-Noorden                              ;JZ05      ;West Friesland                                    ;KK41      ;Noordwest                                         ;LB2705    ;West-Friesland en omgeving                        ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE04      ;Noord-Holland                                     ;ES15      ;Noord-Holland Noord                               ;MC22      ;West-Friesland                                    ;RA0614    ;Noord-Holland Noord                               ;RT11      ;Gerechtshof Amsterdam                             ;ET1503    ;West-Friesland                                    ;TR03      ;IJsselmeerkust                                    ;VR10      ;Noord-Holland-Noord                               ;ZK18      ;Noord-Holland Noord                               ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;19597;498
77;Drimmelen;GM1719    ;Drimmelen                                         ;Drimmelen                                         ;AM25      ;West-Brabant                                      ;AR11      ;Zeeland-West-Brabant                              ;CR33      ;West-Noord-Brabant                                ;CS330     ;West-Noord-Brabant                                ;CP3300    ;West-Noord-Brabant                                ;GG5206    ;GGD West-Brabant                                  ;JZ34      ;West Brabant Oost                                 ;KK44      ;Zuid                                              ;LB3002    ;Westelijke Langstraat                             ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE08      ;Zeeland-West-Brabant                              ;ES28      ;West-Brabant                                      ;MC34      ;West-Brabant                                      ;RA1323    ;West-Brabant                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2801    ;West-Brabant                                      ;TR04      ;Deltagebied                                       ;VR20      ;Midden- en West-Brabant                           ;ZK25      ;West-Brabant                                      ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;27150;782
78;Dronten;GM0303    ;Dronten                                           ;Dronten                                           ;AM11      ;Flevoland                                         ;AR04      ;Midden-Nederland                                  ;CR40      ;Flevoland                                         ;CS400     ;Flevoland                                         ;CP4002    ;Flevoland-Midden                                  ;GG2209    ;GGD Flevoland                                     ;JZ08      ;Flevoland                                         ;KK41      ;Noordwest                                         ;LB2402    ;Zuidelijke IJsselmeerpolders                      ;LG06      ;IJsselmeerpolders                                 ;LD02      ;Oost-Nederland                                    ;PV24      ;Flevoland                                         ;RE03      ;Midden-Nederland                                  ;ES06      ;Flevoland                                         ;MC18      ;Flevoland                                         ;RA0410    ;Flevoland                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0601    ;Flevoland                                         ;TR03      ;IJsselmeerkust                                    ;VR25      ;Flevoland                                         ;ZK07      ;Flevoland                                         ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;40815;761
79;Druten;GM0225    ;Druten                                            ;Druten                                            ;AM08      ;Rijk van Nijmegen                                 ;AR03      ;Gelderland                                        ;CR15      ;Arnhem/Nijmegen                                   ;CS150     ;Arnhem/Nijmegen                                   ;CP1500    ;Arnhem/Nijmegen                                   ;GG2014    ;GGD Gelderland-Zuid                               ;JZ32      ;Nijmegen                                          ;KK43      ;Oost                                              ;LB2503    ;Zuidelijk Gelderland                              ;LG04      ;Oostelijk Veehouderijgebied                       ;LD02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;ES08      ;Arnhem/Nijmegen                                   ;MC14      ;Arnhem/Nijmegen                                   ;RA0308    ;Zuid-West Gelderland                              ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0801    ;Arnhem/Nijmegen                                   ;TR09      ;Gelders Rivierengebied                            ;VR08      ;Gelderland-Zuid                                   ;ZK16      ;Nijmegen                                          ;3;10 000 tot 20 000 inwoners                        ;4;Weinig stedelijk         ;18797;802
80;Duiven;GM0226    ;Duiven                                            ;Duiven                                            ;AM07      ;Midden-Gelderland                                 ;AR03      ;Gelderland                                        ;CR15      ;Arnhem/Nijmegen                                   ;CS150     ;Arnhem/Nijmegen                                   ;CP1500    ;Arnhem/Nijmegen                                   ;GG1911    ;Veiligheids- en Gezondheidsregio Gelderland-Midden;JZ28      ;Arnhem                                            ;KK43      ;Oost                                              ;LB2503    ;Zuidelijk Gelderland                              ;LG04      ;Oostelijk Veehouderijgebied                       ;LD02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;ES08      ;Arnhem/Nijmegen                                   ;MC14      ;Arnhem/Nijmegen                                   ;RA0309    ;Midden-Gelderland                                 ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0801    ;Arnhem/Nijmegen                                   ;TR10      ;Achterhoek                                        ;VR07      ;Gelderland-Midden                                 ;ZK04      ;Arnhem                                            ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;25332;1155
81;Echt-Susteren;GM1711    ;Echt-Susteren                                     ;Echt+Susteren                                     ;AM33      ;Midden-Limburg                                    ;AR09      ;Limburg                                           ;CR38      ;Midden-Limburg                                    ;CS380     ;Midden-Limburg                                    ;CP3800    ;Midden-Limburg                                    ;GG6011    ;GGD Limburg-Noord                                 ;JZ42      ;Midden-Limburg Oost                               ;KK44      ;Zuid                                              ;LB3101    ;Noord-Limburg                                     ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;ES29      ;Noord- en Midden-Limburg                          ;MC38      ;Gewest Limburg-Noord                              ;RA1427    ;Noord- en Midden-Limburg                          ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2901    ;Noord- en Midden-Limburg                          ;TR14      ;O.-Brabant, N.- en M.-Limburg, Nijmegen           ;VR23      ;Limburg-Noord                                     ;ZK17      ;Noord- en Midden-Limburg                          ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;31638;711
82;Edam-Volendam;GM0385    ;Edam-Volendam                                     ;Edam+Volendam                                     ;AM17      ;Zaanstreek/Waterland                              ;AR02      ;Noord-Holland                                     ;CR23      ;Groot-Amsterdam                                   ;CS232     ;Overig Groot-Amsterdam                            ;CP2322    ;Edam-Volendam en omgeving                         ;GG7306    ;GGD Zaanstreek/Waterland                          ;JZ09      ;Zaanstreek-Waterland                              ;KK41      ;Noordwest                                         ;LB2706    ;Waterland en N.-Hollandse Droogmakerijen          ;LG08      ;Waterland en Droogmakerijen                       ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE04      ;Noord-Holland                                     ;ES16      ;Noord-Holland Zuid                                ;MC21      ;Agglomeratie Amsterdam                            ;RA0615    ;Zaanstreek en Waterland                           ;RT11      ;Gerechtshof Amsterdam                             ;ET1603    ;Zaanstreek-Waterland                              ;TR03      ;IJsselmeerkust                                    ;VR11      ;Zaanstreek-Waterland                              ;ZK26      ;Zaanstreek/Waterland                              ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;36099;1299
83;Ede;GM0228    ;Ede                                               ;Ede                                               ;AM38      ;FoodValley                                        ;AR03      ;Gelderland                                        ;CR13      ;Veluwe                                            ;CS130     ;Veluwe                                            ;CP1300    ;Veluwe                                            ;GG1911    ;Veiligheids- en Gezondheidsregio Gelderland-Midden;JZ21      ;Food Valley                                       ;KK43      ;Oost                                              ;LB2507    ;Westelijke Veluwe                                 ;LG05      ;Centraal Veehouderijgebied                        ;LD02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;ES09      ;Foodvalley                                        ;MC16      ;Eem en Vallei                                     ;RA0309    ;Midden-Gelderland                                 ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0901    ;Foodvalley Gelderland                             ;TR08      ;Veluwe en Veluwerand                              ;VR07      ;Gelderland-Midden                                 ;ZK04      ;Arnhem                                            ;6;100 000 tot 150 000 inwoners                      ;2;Sterk stedelijk          ;115710;1552
84;Eemnes;GM0317    ;Eemnes                                            ;Eemnes                                            ;AM12      ;Gooi en Vechtstreek                               ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1702    ;Stadsgewest Amersfoort                            ;GG2514    ;GGD Regio Utrecht                                 ;JZ20      ;Eemland                                           ;KK41      ;Noordwest                                         ;LB2604    ;Eemland                                           ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;PV26      ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;ES13      ;Amersfoort                                        ;MC20      ;Gooi en Vechtstreek                               ;RA0512    ;Utrecht en omgeving                               ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1301    ;Amersfoort                                        ;TR03      ;IJsselmeerkust                                    ;VR09      ;Utrecht                                           ;ZK21      ;'t Gooi                                           ;2;5 000 tot 10 000 inwoners                         ;4;Weinig stedelijk         ;9113;924
85;Eersel;GM0770    ;Eersel                                            ;Eersel                                            ;AM28      ;Zuidoost-Brabant                                  ;AR10      ;Oost-Brabant                                      ;CR36      ;Zuidoost-Noord-Brabant                            ;CS360     ;Zuidoost-Noord-Brabant                            ;CP3600    ;Zuidoost-Noord-Brabant                            ;GG5608    ;GGD Brabant-Zuidoost                              ;JZ39      ;Zuidoost-Brabant                                  ;KK44      ;Zuid                                              ;LB3007    ;De Kempen                                         ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE09      ;Oost-Brabant                                      ;ES26      ;Metropoolregio Eindhoven                          ;MC37      ;Zuidoost-Brabant                                  ;RA1326    ;Zuidoost-Brabant                                  ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2601    ;Metropoolregio Eindhoven                          ;TR13      ;West- en Midden-Brabant                           ;VR22      ;Brabant-Zuidoost                                  ;ZK30      ;Zuidoost-Brabant                                  ;3;10 000 tot 20 000 inwoners                        ;4;Weinig stedelijk         ;19110;566
86;Eijsden-Margraten;GM1903    ;Eijsden-Margraten                                 ;Eijsden+Margraten                                 ;AM30      ;Zuid-Limburg                                      ;AR09      ;Limburg                                           ;CR39      ;Zuid-Limburg                                      ;CS390     ;Zuid-Limburg                                      ;CP3900    ;Zuid-Limburg                                      ;GG6106    ;GGD Zuid-Limburg                                  ;JZ41      ;Zuid-Limburg                                      ;KK44      ;Zuid                                              ;LB3102    ;Zuid-Limburg                                      ;LG14      ;Zuid-Limburg                                      ;LD04      ;Zuid-Nederland                                    ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;ES30      ;Zuid-Limburg                                      ;MC39      ;Gewest Zuid-Limburg                               ;RA1428    ;Zuid-Limburg                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET3002    ;Maastricht Heuvelland                             ;TR15      ;Zuid-Limburg                                      ;VR24      ;Limburg-Zuid                                      ;ZK31      ;Zuid-Limburg                                      ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;25658;460
87;Eindhoven;GM0772    ;Eindhoven                                         ;Eindhoven                                         ;AM28      ;Zuidoost-Brabant                                  ;AR10      ;Oost-Brabant                                      ;CR36      ;Zuidoost-Noord-Brabant                            ;CS360     ;Zuidoost-Noord-Brabant                            ;CP3600    ;Zuidoost-Noord-Brabant                            ;GG5608    ;GGD Brabant-Zuidoost                              ;JZ39      ;Zuidoost-Brabant                                  ;KK44      ;Zuid                                              ;LB3008    ;Midden-Noord-Brabant                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE09      ;Oost-Brabant                                      ;ES26      ;Metropoolregio Eindhoven                          ;MC37      ;Zuidoost-Brabant                                  ;RA1326    ;Zuidoost-Brabant                                  ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2601    ;Metropoolregio Eindhoven                          ;TR13      ;West- en Midden-Brabant                           ;VR22      ;Brabant-Zuidoost                                  ;ZK30      ;Zuidoost-Brabant                                  ;7;150 000 tot 250 000 inwoners                      ;1;Zeer sterk stedelijk     ;231642;2654
88;Elburg;GM0230    ;Elburg                                            ;Elburg                                            ;AM06      ;Stedendriehoek en Noordwest Veluwe                ;AR03      ;Gelderland                                        ;CR13      ;Veluwe                                            ;CS130     ;Veluwe                                            ;CP1300    ;Veluwe                                            ;GG1413    ;GGD Noord- en Oost-Gelderland                     ;JZ12      ;Noord-Veluwe                                      ;KK43      ;Oost                                              ;LB2501    ;Oostelijke Veluwe                                 ;LG05      ;Centraal Veehouderijgebied                        ;LD02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;ES10      ;Noord-Veluwe                                      ;MC17      ;Noordwest-Veluwe                                  ;RA0206    ;Stedendriehoek & Noord-Veluwe                     ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1001    ;Noord-Veluwe                                      ;TR03      ;IJsselmeerkust                                    ;VR06      ;Noord- en Oost-Gelderland                         ;ZK32      ;Zwolle                                            ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;23086;666
89;Emmen;GM0114    ;Emmen                                             ;Emmen                                             ;AM03      ;Drenthe                                           ;AR05      ;Noord-Nederland                                   ;CR08      ;Zuidoost-Drenthe                                  ;CS080     ;Zuidoost-Drenthe                                  ;CP0800    ;Zuidoost-Drenthe                                  ;GG0706    ;GGD Drenthe                                       ;JZ04      ;Drenthe                                           ;KK42      ;Noord                                             ;LB2205    ;Drentse Veenkoloniën en Hondsrug                  ;LG02      ;Veenkoloniën en Oldambt                           ;LD01      ;Noord-Nederland                                   ;PV22      ;Drenthe                                           ;RE01      ;Noord-Nederland                                   ;ES03      ;Drenthe                                           ;MC08      ;Zuid-Oost Drenthe                                 ;RA0102    ;Drenthe                                           ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0301    ;Drenthe                                           ;TR12      ;Groningse, Friese en Drentse Zandgronden          ;VR03      ;Drenthe                                           ;ZK06      ;Drenthe                                           ;6;100 000 tot 150 000 inwoners                      ;4;Weinig stedelijk         ;107113;850
90;Enkhuizen;GM0388    ;Enkhuizen                                         ;Enkhuizen                                         ;AM15      ;Noord-Holland Noord                               ;AR02      ;Noord-Holland                                     ;CR18      ;Kop van Noord-Holland                             ;CS180     ;Kop van Noord-Holland                             ;CP1800    ;Kop van Noord-Holland                             ;GG2707    ;GGD Hollands-Noorden                              ;JZ05      ;West Friesland                                    ;KK41      ;Noordwest                                         ;LB2705    ;West-Friesland en omgeving                        ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE04      ;Noord-Holland                                     ;ES15      ;Noord-Holland Noord                               ;MC22      ;West-Friesland                                    ;RA0614    ;Noord-Holland Noord                               ;RT11      ;Gerechtshof Amsterdam                             ;ET1503    ;West-Friesland                                    ;TR03      ;IJsselmeerkust                                    ;VR10      ;Noord-Holland-Noord                               ;ZK18      ;Noord-Holland Noord                               ;3;10 000 tot 20 000 inwoners                        ;3;Matig stedelijk          ;18507;1389
91;Enschede;GM0153    ;Enschede                                          ;Enschede                                          ;AM05      ;Twente                                            ;AR06      ;Overijssel                                        ;CR12      ;Twente                                            ;CS120     ;Twente                                            ;CP1200    ;Twente                                            ;GG1106    ;GGD Regio Twente                                  ;JZ14      ;Twente                                            ;KK43      ;Oost                                              ;LB2303    ;Twente                                            ;LG04      ;Oostelijk Veehouderijgebied                       ;LD02      ;Oost-Nederland                                    ;PV23      ;Overijssel                                        ;RE02      ;Oost-Nederland                                    ;ES04      ;Twente                                            ;MC12      ;Twente                                            ;RA0205    ;Twente                                            ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0401    ;Twente                                            ;TR11      ;Twente, Salland en Vechtstreek                    ;VR05      ;Twente                                            ;ZK22      ;Twente                                            ;7;150 000 tot 250 000 inwoners                      ;2;Sterk stedelijk          ;158986;2126
92;Epe;GM0232    ;Epe                                               ;Epe                                               ;AM06      ;Stedendriehoek en Noordwest Veluwe                ;AR03      ;Gelderland                                        ;CR13      ;Veluwe                                            ;CS130     ;Veluwe                                            ;CP1300    ;Veluwe                                            ;GG1413    ;GGD Noord- en Oost-Gelderland                     ;JZ17      ;Midden IJssel / Oost Veluwe                       ;KK43      ;Oost                                              ;LB2501    ;Oostelijke Veluwe                                 ;LG05      ;Centraal Veehouderijgebied                        ;LD02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;ES12      ;Cleantech                                         ;MC11      ;Stedendriehoek                                    ;RA0206    ;Stedendriehoek & Noord-Veluwe                     ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1201    ;Cleantech                                         ;TR08      ;Veluwe en Veluwerand                              ;VR06      ;Noord- en Oost-Gelderland                         ;ZK03      ;Apeldoorn/Zutphen                                 ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;33145;732
93;Ermelo;GM0233    ;Ermelo                                            ;Ermelo                                            ;AM06      ;Stedendriehoek en Noordwest Veluwe                ;AR03      ;Gelderland                                        ;CR13      ;Veluwe                                            ;CS130     ;Veluwe                                            ;CP1300    ;Veluwe                                            ;GG1413    ;GGD Noord- en Oost-Gelderland                     ;JZ12      ;Noord-Veluwe                                      ;KK43      ;Oost                                              ;LB2507    ;Westelijke Veluwe                                 ;LG05      ;Centraal Veehouderijgebied                        ;LD02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;ES10      ;Noord-Veluwe                                      ;MC17      ;Noordwest-Veluwe                                  ;RA0206    ;Stedendriehoek & Noord-Veluwe                     ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1001    ;Noord-Veluwe                                      ;TR08      ;Veluwe en Veluwerand                              ;VR06      ;Noord- en Oost-Gelderland                         ;ZK32      ;Zwolle                                            ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;26858;881
94;Etten-Leur;GM0777    ;Etten-Leur                                        ;Etten+Leur                                        ;AM25      ;West-Brabant                                      ;AR11      ;Zeeland-West-Brabant                              ;CR33      ;West-Noord-Brabant                                ;CS330     ;West-Noord-Brabant                                ;CP3300    ;West-Noord-Brabant                                ;GG5206    ;GGD West-Brabant                                  ;JZ36      ;West Brabant West                                 ;KK44      ;Zuid                                              ;LB3005    ;Westelijke Zandgronden                            ;LG12      ;Zuidwest-Brabant                                  ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE08      ;Zeeland-West-Brabant                              ;ES28      ;West-Brabant                                      ;MC34      ;West-Brabant                                      ;RA1323    ;West-Brabant                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2801    ;West-Brabant                                      ;TR13      ;West- en Midden-Brabant                           ;VR20      ;Midden- en West-Brabant                           ;ZK25      ;West-Brabant                                      ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;43774;1668
95;De Fryske Marren;GM1940    ;De Fryske Marren                                  ;Fryske Marren De                                  ;AM02      ;Friesland                                         ;AR05      ;Noord-Nederland                                   ;CR05      ;Zuidwest-Friesland                                ;CS050     ;Zuidwest-Friesland                                ;CP0500    ;Zuidwest-Friesland                                ;GG7206    ;GGD Fryslân                                       ;JZ02      ;Friesland (Fryslân)                               ;KK42      ;Noord                                             ;LB2102    ;Weidestreek in Friesland                          ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;PV21      ;Friesland                                         ;RE01      ;Noord-Nederland                                   ;ES02      ;Friesland                                         ;MC05      ;Zuid-West Friesland                               ;RA0103    ;Friesland                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0201    ;Friesland                                         ;TR05      ;Meren in Gron., Friesl., N.W.-Overijssel          ;VR02      ;Fryslân                                           ;ZK08      ;Friesland                                         ;5;50 000 tot 100 000 inwoners                       ;4;Weinig stedelijk         ;51430;553
96;Geertruidenberg;GM0779    ;Geertruidenberg                                   ;Geertruidenberg                                   ;AM25      ;West-Brabant                                      ;AR11      ;Zeeland-West-Brabant                              ;CR33      ;West-Noord-Brabant                                ;CS330     ;West-Noord-Brabant                                ;CP3300    ;West-Noord-Brabant                                ;GG5206    ;GGD West-Brabant                                  ;JZ34      ;West Brabant Oost                                 ;KK44      ;Zuid                                              ;LB3002    ;Westelijke Langstraat                             ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE08      ;Zeeland-West-Brabant                              ;ES28      ;West-Brabant                                      ;MC34      ;West-Brabant                                      ;RA1323    ;West-Brabant                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2801    ;West-Brabant                                      ;TR13      ;West- en Midden-Brabant                           ;VR20      ;Midden- en West-Brabant                           ;ZK25      ;West-Brabant                                      ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;21515;1091
97;Geldrop-Mierlo;GM1771    ;Geldrop-Mierlo                                    ;Geldrop+Mierlo                                    ;AM32      ;Helmond-De Peel                                   ;AR10      ;Oost-Brabant                                      ;CR36      ;Zuidoost-Noord-Brabant                            ;CS360     ;Zuidoost-Noord-Brabant                            ;CP3600    ;Zuidoost-Noord-Brabant                            ;GG5608    ;GGD Brabant-Zuidoost                              ;JZ39      ;Zuidoost-Brabant                                  ;KK44      ;Zuid                                              ;LB3010    ;Westelijk Peelgebied                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE09      ;Oost-Brabant                                      ;ES26      ;Metropoolregio Eindhoven                          ;MC37      ;Zuidoost-Brabant                                  ;RA1326    ;Zuidoost-Brabant                                  ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2601    ;Metropoolregio Eindhoven                          ;TR13      ;West- en Midden-Brabant                           ;VR22      ;Brabant-Zuidoost                                  ;ZK30      ;Zuidoost-Brabant                                  ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;39595;1346
98;Gemert-Bakel;GM1652    ;Gemert-Bakel                                      ;Gemert+Bakel                                      ;AM32      ;Helmond-De Peel                                   ;AR10      ;Oost-Brabant                                      ;CR36      ;Zuidoost-Noord-Brabant                            ;CS360     ;Zuidoost-Noord-Brabant                            ;CP3600    ;Zuidoost-Noord-Brabant                            ;GG5608    ;GGD Brabant-Zuidoost                              ;JZ39      ;Zuidoost-Brabant                                  ;KK44      ;Zuid                                              ;LB3010    ;Westelijk Peelgebied                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE09      ;Oost-Brabant                                      ;ES26      ;Metropoolregio Eindhoven                          ;MC37      ;Zuidoost-Brabant                                  ;RA1326    ;Zuidoost-Brabant                                  ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2601    ;Metropoolregio Eindhoven                          ;TR14      ;O.-Brabant, N.- en M.-Limburg, Nijmegen           ;VR22      ;Brabant-Zuidoost                                  ;ZK30      ;Zuidoost-Brabant                                  ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;30447;766
99;Gennep;GM0907    ;Gennep                                            ;Gennep                                            ;AM29      ;Noord-Limburg                                     ;AR09      ;Limburg                                           ;CR37      ;Noord-Limburg                                     ;CS370     ;Noord-Limburg                                     ;CP3700    ;Noord-Limburg                                     ;GG6011    ;GGD Limburg-Noord                                 ;JZ37      ;Noord-Limburg                                     ;KK44      ;Zuid                                              ;LB3101    ;Noord-Limburg                                     ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;ES29      ;Noord- en Midden-Limburg                          ;MC38      ;Gewest Limburg-Noord                              ;RA1427    ;Noord- en Midden-Limburg                          ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2901    ;Noord- en Midden-Limburg                          ;TR14      ;O.-Brabant, N.- en M.-Limburg, Nijmegen           ;VR23      ;Limburg-Noord                                     ;ZK16      ;Nijmegen                                          ;3;10 000 tot 20 000 inwoners                        ;4;Weinig stedelijk         ;17071;636
100;Gilze en Rijen;GM0784    ;Gilze en Rijen                                    ;Gilze en Rijen                                    ;AM26      ;Midden-Brabant                                    ;AR11      ;Zeeland-West-Brabant                              ;CR34      ;Midden-Noord-Brabant                              ;CS340     ;Midden-Noord-Brabant                              ;CP3400    ;Midden-Noord-Brabant                              ;GG5406    ;GGD Hart voor Brabant                             ;JZ35      ;Midden-Brabant                                    ;KK44      ;Zuid                                              ;LB3008    ;Midden-Noord-Brabant                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE08      ;Zeeland-West-Brabant                              ;ES25      ;Hart van Brabant                                  ;MC35      ;Midden-Brabant                                    ;RA1324    ;Midden-Brabant                                    ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2501    ;Hart van Brabant                                  ;TR13      ;West- en Midden-Brabant                           ;VR20      ;Midden- en West-Brabant                           ;ZK12      ;Midden-Brabant                                    ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;26431;1071
